"block"	"org_chr1"	"org_chr2"	"ks"	"kn"	"start1"	"stop1"	"gene1"	"start2"	"stop2"	"gene2"	"median"	"mean"	"count"	"total_genes"	"subGenome"
"39"	"#10f"	"a31607_2"	"b34889_2"	0.2311	0.0786	67783773	67786305	"Sobic.002G301000.1.v3.1"	205869513	205866818	"CDS:Zm00001d006368_T001"	0.22575	0.270410714285714	28	472	"sub2"
"40"	"#10f"	"a31607_2"	"b34889_2"	0.2859	0.0445	67236442	67239449	"Sobic.002G294700.1.v3.1"	204901525	204902529	"CDS:Zm00001d006331_T001"	0.22575	0.270410714285714	28	472	"sub2"
"41"	"#10f"	"a31607_2"	"b34889_2"	0.1547	0.0153	67289294	67292259	"Sobic.002G295700.1.v3.1"	204940530	204943218	"CDS:Zm00001d006333_T001"	0.22575	0.270410714285714	28	472	"sub2"
"42"	"#10f"	"a31607_2"	"b34889_2"	0.2189	0.034	67228548	67230125	"Sobic.002G294600.1.v3.1"	204891476	204893008	"CDS:Zm00001d006330_T001"	0.22575	0.270410714285714	28	472	"sub2"
"43"	"#10f"	"a31607_2"	"b34889_2"	0.2563	3e-04	67320916	67318866	"Sobic.002G296200.1.v3.1"	204962243	204951917	"CDS:Zm00001d006336_T001"	0.22575	0.270410714285714	28	472	"sub2"
"44"	"#10f"	"a31607_2"	"b34889_2"	0.1731	0.0395	67293082	67297462	"Sobic.002G295800.1.v3.1"	204943938	204947921	"CDS:Zm00001d006335_T001"	0.22575	0.270410714285714	28	472	"sub2"
"45"	"#10f"	"a31607_2"	"b34889_2"	0.5232	0.2258	67346152	67348541	"Sobic.002G297000.1.v3.1"	205070819	205076726	"CDS:Zm00001d006342_T001"	0.22575	0.270410714285714	28	472	"sub2"
"46"	"#10f"	"a31607_2"	"b34889_2"	0.4307	0.0626	67593949	67594942	"Sobic.002G299800.1.v3.1"	205688012	205688979	"CDS:Zm00001d006358_T001"	0.22575	0.270410714285714	28	472	"sub2"
"47"	"#10f"	"a31607_2"	"b34889_2"	0.3942	0.079	67192933	67190787	"Sobic.002G294000.2.v3.1"	204640987	204637849	"CDS:Zm00001d006327_T001"	0.22575	0.270410714285714	28	472	"sub2"
"48"	"#10f"	"a31607_2"	"b34889_2"	0.4285	0.1645	67351083	67349022	"Sobic.002G297100.1.v3.1"	205079954	205077183	"CDS:Zm00001d006343_T001"	0.22575	0.270410714285714	28	472	"sub2"
"49"	"#10f"	"a31607_2"	"b34889_2"	0.2262	0.0475	67396952	67395018	"Sobic.002G297800.1.v3.1"	205260710	205258976	"CDS:Zm00001d006348_T001"	0.22575	0.270410714285714	28	472	"sub2"
"50"	"#10f"	"a31607_2"	"b34889_2"	0.154	0.0276	67326770	67322849	"Sobic.002G296300.1.v3.1"	204973587	204963869	"CDS:Zm00001d006337_T001"	0.22575	0.270410714285714	28	472	"sub2"
"51"	"#10f"	"a31607_2"	"b34889_2"	0.1225	0.0226	67201930	67205099	"Sobic.002G294200.1.v3.1"	204816371	204819851	"CDS:Zm00001d006328_T001"	0.22575	0.270410714285714	28	472	"sub2"
"52"	"#10f"	"a31607_2"	"b34889_2"	0.1719	0.0316	67390268	67393482	"Sobic.002G297700.1.v3.1"	205253745	205256984	"CDS:Zm00001d006347_T001"	0.22575	0.270410714285714	28	472	"sub2"
"53"	"#10f"	"a31607_2"	"b34889_2"	0.1253	0.0319	67383580	67378848	"Sobic.002G297600.1.v3.1"	205195349	205186898	"CDS:Zm00001d006345_T001"	0.22575	0.270410714285714	28	472	"sub2"
"54"	"#10f"	"a31607_2"	"b34889_2"	0.1566	0.0651	67567509	67564690	"Sobic.002G299500.1.v3.1"	205443569	205440831	"CDS:Zm00001d006354_T001"	0.22575	0.270410714285714	28	472	"sub2"
"55"	"#10f"	"a31607_2"	"b34889_2"	0.3818	0.0231	67222526	67223421	"Sobic.002G294500.1.v3.1"	204888589	204889445	"CDS:Zm00001d006329_T001"	0.22575	0.270410714285714	28	472	"sub2"
"56"	"#10f"	"a31607_2"	"b34889_2"	0.1338	0.0283	67356047	67352070	"Sobic.002G297200.1.v3.1"	205087822	205082567	"CDS:Zm00001d006344_T007"	0.22575	0.270410714285714	28	472	"sub2"
"57"	"#10f"	"a31607_2"	"b34889_2"	0.1304	0.0504	67463529	67468622	"Sobic.002G299000.1.v3.1"	205337599	205342709	"CDS:Zm00001d006350_T001"	0.22575	0.270410714285714	28	472	"sub2"
"58"	"#10f"	"a31607_2"	"b34889_2"	0.2253	0.062	67479397	67484782	"Sobic.002G299200.1.v3.1"	205399304	205404615	"CDS:Zm00001d006351_T001"	0.22575	0.270410714285714	28	472	"sub2"
"59"	"#10f"	"a31607_2"	"b34889_7"	0.4903	0.3363	5038331	5034510	"Sobic.002G053100.1.v3.1"	10335839	10328563	"CDS:Zm00001d018950_T001"	0.24295	6.63665714285714	42	927	"sub1"
"60"	"#10f"	"a31607_2"	"b34889_7"	0.3757	0.1343	4600376	4601034	"Sobic.002G048300.1.v3.1"	8961832	8963795	"CDS:Zm00001d018906_T001"	0.24295	6.63665714285714	42	927	"sub1"
"61"	"#10f"	"a31607_2"	"b34889_7"	0.1226	0.0594	4646431	4653440	"Sobic.002G049200.1.v3.1"	9117682	9134588	"CDS:Zm00001d018912_T003"	0.24295	6.63665714285714	42	927	"sub1"
"62"	"#10f"	"a31607_2"	"b34889_7"	0.3549	0.1263	5043950	5045359	"Sobic.002G053201.1.v3.1"	10360146	10360500	"CDS:Zm00001d018951_T001"	0.24295	6.63665714285714	42	927	"sub1"
"63"	"#10f"	"a31607_2"	"b34889_7"	0.2143	0.137	4309544	4314339	"Sobic.002G045600.1.v3.1"	8472331	8478042	"CDS:Zm00001d018890_T002"	0.24295	6.63665714285714	42	927	"sub1"
"64"	"#10f"	"a31607_2"	"b34889_7"	0.2535	0.0124	4257165	4257953	"Sobic.002G045100.1.v3.1"	8247290	8248081	"CDS:Zm00001d018882_T001"	0.24295	6.63665714285714	42	927	"sub1"
"65"	"#10f"	"a31607_2"	"b34889_7"	0.3278	0.034	4626499	4627032	"Sobic.002G048800.1.v3.1"	8978200	8978709	"CDS:Zm00001d018908_T001"	0.24295	6.63665714285714	42	927	"sub1"
"66"	"#10f"	"a31607_2"	"b34889_7"	0.1509	0.0305	4497814	4502477	"Sobic.002G047700.1.v3.1"	8853903	8858583	"CDS:Zm00001d018904_T001"	0.24295	6.63665714285714	42	927	"sub1"
"67"	"#10f"	"a31607_2"	"b34889_7"	0.2367	0.0535	4746914	4741856	"Sobic.002G050200.1.v3.1"	9499027	9495808	"CDS:Zm00001d018927_T001"	0.24295	6.63665714285714	42	927	"sub1"
"68"	"#10f"	"a31607_2"	"b34889_7"	68.9479	0.301	4681157	4682266	"Sobic.002G049500.1.v3.1"	9192804	9193603	"CDS:Zm00001d018915_T007"	0.24295	6.63665714285714	42	927	"sub1"
"69"	"#10f"	"a31607_2"	"b34889_7"	0.3226	0.0574	4636527	4633399	"Sobic.002G049000.1.v3.1"	8989389	8986335	"CDS:Zm00001d018911_T001"	0.24295	6.63665714285714	42	927	"sub1"
"70"	"#10f"	"a31607_2"	"b34889_7"	87.3506	1.2497	4192996	4193775	"Sobic.002G044100.2.v3.1"	8132445	8131234	"CDS:Zm00001d018879_T001"	0.24295	6.63665714285714	42	927	"sub1"
"71"	"#10f"	"a31607_2"	"b34889_7"	0.5216	0.0414	4769155	4765439	"Sobic.002G050500.1.v3.1"	9550812	9547008	"CDS:Zm00001d018929_T001"	0.24295	6.63665714285714	42	927	"sub1"
"72"	"#10f"	"a31607_2"	"b34889_7"	0.2057	0.1063	4739577	4740804	"Sobic.002G050100.2.v3.1"	9492578	9493477	"CDS:Zm00001d018926_T001"	0.24295	6.63665714285714	42	927	"sub1"
"73"	"#10f"	"a31607_2"	"b34889_7"	0.2272	0.0626	4972808	4975015	"Sobic.002G052400.1.v3.1"	10079269	10082676	"CDS:Zm00001d018943_T003"	0.24295	6.63665714285714	42	927	"sub1"
"74"	"#10f"	"a31607_2"	"b34889_7"	0.171	0.0205	5010931	5009310	"Sobic.002G052900.2.v3.1"	10196207	10194632	"CDS:Zm00001d018946_T001"	0.24295	6.63665714285714	42	927	"sub1"
"75"	"#10f"	"a31607_2"	"b34889_7"	0.1836	0.0108	4177992	4174803	"Sobic.002G044000.1.v3.1"	7920874	7917916	"CDS:Zm00001d018873_T001"	0.24295	6.63665714285714	42	927	"sub1"
"76"	"#10f"	"a31607_2"	"b34889_7"	0.1553	15.375	4720147	4722825	"Sobic.002G049750.1.v3.1"	9481983	9491316	"CDS:Zm00001d018925_T001"	0.24295	6.63665714285714	42	927	"sub1"
"77"	"#10f"	"a31607_2"	"b34889_7"	0.9198	0.0741	4480701	4482352	"Sobic.002G047400.1.v3.1"	8756347	8757912	"CDS:Zm00001d018901_T001"	0.24295	6.63665714285714	42	927	"sub1"
"78"	"#10f"	"a31607_2"	"b34889_7"	0.1944	0.0556	5014589	5012888	"Sobic.002G053000.2.v3.1"	10202745	10202518	"CDS:Zm00001d018947_T001"	0.24295	6.63665714285714	42	927	"sub1"
"79"	"#10f"	"a31607_2"	"b34889_7"	0.6887	0.163	4692083	4689947	"Sobic.002G049600.1.v3.1"	9356785	9356138	"CDS:Zm00001d018917_T001"	0.24295	6.63665714285714	42	927	"sub1"
"80"	"#10f"	"a31607_2"	"b34889_7"	0.5237	0.0537	4251677	4250451	"Sobic.002G045000.1.v3.1"	8211558	8210341	"CDS:Zm00001d018881_T001"	0.24295	6.63665714285714	42	927	"sub1"
"81"	"#10f"	"a31607_2"	"b34889_7"	0.1376	0.0208	4611430	4616769	"Sobic.002G048700.1.v3.1"	8969593	8975071	"CDS:Zm00001d018907_T001"	0.24295	6.63665714285714	42	927	"sub1"
"82"	"#10f"	"a31607_2"	"b34889_7"	0.2366	0.0555	4382874	4379644	"Sobic.002G047000.2.v3.1"	8607247	8603599	"CDS:Zm00001d018896_T002"	0.24295	6.63665714285714	42	927	"sub1"
"83"	"#10f"	"a31607_2"	"b34889_7"	0.4912	0.0545	4271081	4273869	"Sobic.002G045200.1.v3.1"	8340897	8343828	"CDS:Zm00001d018883_T001"	0.24295	6.63665714285714	42	927	"sub1"
"84"	"#10f"	"a31607_2"	"b34889_7"	0.264	0.0082	4492512	4490851	"Sobic.002G047600.1.v3.1"	8799956	8798059	"CDS:Zm00001d018903_T001"	0.24295	6.63665714285714	42	927	"sub1"
"85"	"#10f"	"a31607_2"	"b34889_7"	0.1826	0.0639	4995814	5000553	"Sobic.002G052700.1.v3.1"	10187775	10193117	"CDS:Zm00001d018944_T001"	0.24295	6.63665714285714	42	927	"sub1"
"86"	"#10f"	"a31607_2"	"b34889_7"	0.1483	0.0369	4486926	4483376	"Sobic.002G047500.1.v3.1"	8762746	8758657	"CDS:Zm00001d018902_T001"	0.24295	6.63665714285714	42	927	"sub1"
"87"	"#10f"	"a31607_2"	"b34889_7"	0.1902	0.0535	4354560	4357908	"Sobic.002G046300.1.v3.1"	8558273	8562233	"CDS:Zm00001d018894_T001"	0.24295	6.63665714285714	42	927	"sub1"
"88"	"#10f"	"a31607_2"	"b34889_7"	61.8638	1.1408	4811988	4816992	"Sobic.002G050700.2.v3.1"	9617452	9622484	"CDS:Zm00001d018930_T011"	0.24295	6.63665714285714	42	927	"sub1"
"89"	"#10f"	"a31607_2"	"b34889_7"	1.0678	0.263	4658070	4660024	"Sobic.002G049300.1.v3.1"	9145802	9146349	"CDS:Zm00001d018914_T001"	0.24295	6.63665714285714	42	927	"sub1"
"90"	"#10f"	"a31607_2"	"b34889_7"	0.1222	0.0376	4889444	4899400	"Sobic.002G051600.1.v3.1"	9809522	9822299	"CDS:Zm00001d018937_T001"	0.24295	6.63665714285714	42	927	"sub1"
"91"	"#10f"	"a31607_2"	"b34889_7"	0.4086	0.0569	4704009	4707791	"Sobic.002G049700.1.v3.1"	9396969	9400728	"CDS:Zm00001d018918_T001"	0.24295	6.63665714285714	42	927	"sub1"
"92"	"#10f"	"a31607_2"	"b34889_7"	0.1236	0.0176	4920652	4924887	"Sobic.002G051800.1.v3.1"	9874961	9879406	"CDS:Zm00001d018939_T001"	0.24295	6.63665714285714	42	927	"sub1"
"93"	"#10f"	"a31607_2"	"b34889_7"	0.1265	0.0284	4293102	4283589	"Sobic.002G045400.4.v3.1"	8359973	8355095	"CDS:Zm00001d018887_T002"	0.24295	6.63665714285714	42	927	"sub1"
"94"	"#10f"	"a31607_2"	"b34889_7"	0.4643	0.0928	4282076	4275534	"Sobic.002G045300.1.v3.1"	8353142	8344926	"CDS:Zm00001d018884_T001"	0.24295	6.63665714285714	42	927	"sub1"
"95"	"#10f"	"a31607_2"	"b34889_7"	0.2492	0.0328	4376904	4378815	"Sobic.002G046900.1.v3.1"	8600853	8602829	"CDS:Zm00001d018895_T001"	0.24295	6.63665714285714	42	927	"sub1"
"96"	"#10f"	"a31607_2"	"b34889_7"	0.1199	0.0267	4325249	4315177	"Sobic.002G045700.1.v3.1"	8494108	8478716	"CDS:Zm00001d018891_T001"	0.24295	6.63665714285714	42	927	"sub1"
"97"	"#10f"	"a31607_2"	"b34889_7"	0.1314	0.0363	4840851	4844456	"Sobic.002G051000.1.v3.1"	9653006	9657672	"CDS:Zm00001d018935_T003"	0.24295	6.63665714285714	42	927	"sub1"
"98"	"#10f"	"a31607_2"	"b34889_7"	0.1476	0.0117	4847476	4844859	"Sobic.002G051100.1.v3.1"	9661440	9659187	"CDS:Zm00001d018936_T001"	0.24295	6.63665714285714	42	927	"sub1"
"99"	"#10f"	"a31607_2"	"b34889_7"	48.203	0.3508	4935833	4935237	"Sobic.002G052000.2.v3.1"	9985533	9990001	"CDS:Zm00001d018940_T001"	0.24295	6.63665714285714	42	927	"sub1"
"100"	"#10f"	"a31607_2"	"b34889_7"	1.1224	0.0722	4820732	4819599	"Sobic.002G050900.2.v3.1"	9631617	9625026	"CDS:Zm00001d018931_T001"	0.24295	6.63665714285714	42	927	"sub1"
"101"	"#10f"	"a31607_3"	"b34889_3"	37.3526	1.6063	12323668	12322802	"Sobic.003G131500.1.v3.1"	44588751	44589602	"CDS:Zm00001d040460_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"102"	"#10f"	"a31607_3"	"b34889_3"	2.5794	1.2919	12314446	12316519	"Sobic.003G131300.1.v3.1"	44576874	44579354	"CDS:Zm00001d040459_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"103"	"#10f"	"a31607_3"	"b34889_3"	0.1488	0.009	12400232	12394840	"Sobic.003G132000.1.v3.1"	44610374	44592976	"CDS:Zm00001d040462_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"104"	"#10f"	"a31607_3"	"b34889_3"	70.8841	1.1297	12170588	12164776	"Sobic.003G130000.1.v3.1"	43523838	43522909	"CDS:Zm00001d040440_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"105"	"#10f"	"a31607_3"	"b34889_3"	0.1413	0.0311	12311226	12305391	"Sobic.003G131200.6.v3.1"	44233944	44227376	"CDS:Zm00001d040456_T002"	0.2447	4.80769583333333	24	1113	"sub1"
"106"	"#10f"	"a31607_3"	"b34889_3"	0.1319	0.0407	12317107	12319708	"Sobic.003G131400.1.v3.1"	44580063	44585253	"CDS:Zm00001d040459_T010"	0.2447	4.80769583333333	24	1113	"sub1"
"107"	"#10f"	"a31607_3"	"b34889_3"	0.2263	0.0852	12174323	12175237	"Sobic.003G130100.1.v3.1"	43539013	43539885	"CDS:Zm00001d040441_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"108"	"#10f"	"a31607_3"	"b34889_3"	0.092	0.0508	12299910	12303360	"Sobic.003G131100.1.v3.1"	44149599	44152549	"CDS:Zm00001d040455_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"109"	"#10f"	"a31607_3"	"b34889_3"	0.4037	0.1138	12260356	12254691	"Sobic.003G130900.1.v3.1"	43808293	43804437	"CDS:Zm00001d040448_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"110"	"#10f"	"a31607_3"	"b34889_3"	0.2689	0.0316	12238211	12239290	"Sobic.003G130700.1.v3.1"	43699969	43701009	"CDS:Zm00001d040445_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"111"	"#10f"	"a31607_3"	"b34889_3"	0.1163	0.0078	12157501	12162004	"Sobic.003G129900.1.v3.1"	43450224	43454699	"CDS:Zm00001d040438_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"112"	"#10f"	"a31607_3"	"b34889_3"	0.1664	0.0753	12619850	12623475	"Sobic.003G134000.1.v3.1"	45714461	45717980	"CDS:Zm00001d040475_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"113"	"#10f"	"a31607_3"	"b34889_3"	0.212	0.0407	12223831	12222389	"Sobic.003G130500.1.v3.1"	43571119	43569683	"CDS:Zm00001d040442_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"114"	"#10f"	"a31607_3"	"b34889_3"	0.3122	0.0167	12470019	12466809	"Sobic.003G132500.1.v3.1"	44989010	44985839	"CDS:Zm00001d040466_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"115"	"#10f"	"a31607_3"	"b34889_3"	0.2858	0.0338	12668104	12670577	"Sobic.003G134300.1.v3.1"	45761501	45763784	"CDS:Zm00001d040477_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"116"	"#10f"	"a31607_3"	"b34889_3"	0.1871	0.0451	12580268	12573938	"Sobic.003G133600.1.v3.1"	45134761	45120215	"CDS:Zm00001d040468_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"117"	"#10f"	"a31607_3"	"b34889_3"	0.2631	0.0108	12431204	12429179	"Sobic.003G132100.1.v3.1"	44746581	44744557	"CDS:Zm00001d040463_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"118"	"#10f"	"a31607_3"	"b34889_3"	0.2196	0.0468	12473631	12472573	"Sobic.003G132600.1.v3.1"	45000619	44999346	"CDS:Zm00001d040467_T002"	0.2447	4.80769583333333	24	1113	"sub1"
"119"	"#10f"	"a31607_3"	"b34889_3"	0.3353	0.021	12440871	12441851	"Sobic.003G132300.1.v3.1"	44811473	44812481	"CDS:Zm00001d040464_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"120"	"#10f"	"a31607_3"	"b34889_3"	0.1321	0.0209	12245739	12240143	"Sobic.003G130800.1.v3.1"	43707304	43702228	"CDS:Zm00001d040446_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"121"	"#10f"	"a31607_3"	"b34889_3"	0.2637	0.021	12615773	12604299	"Sobic.003G133900.1.v3.1"	45288164	45272958	"CDS:Zm00001d040470_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"122"	"#10f"	"a31607_3"	"b34889_3"	0.2968	0.1117	12266108	12265665	"Sobic.003G131000.1.v3.1"	43935541	43935097	"CDS:Zm00001d040450_T001"	0.2447	4.80769583333333	24	1113	"sub1"
"123"	"#10f"	"a31607_3"	"b34889_3"	0.0979	1e-04	12150134	12147927	"Sobic.003G129800.1.v3.1"	43326309	43324040	"CDS:Zm00001d040435_T001"	0.2447	4.80769583333333	24	1113	"sub1"
